Date,Underlying,C445,C450,C455,C460,C465,C470,C475,C480,C485,C490,C495,C500,C505,C510,C515,C520,P445,P450,P455,P460,P465,P470,P475,P480,P485,P490,P495,P500,P505,P510,P515,P520
2025-09-11,470.73,,,,25.4,19.27,18.2,15.97,,,8.95,,7.02,5.4,,,,,6.43,,,12.68,15.5,,,,,,,,,,
2025-09-12,471.31,,31.79,27.75,25.0,19.1,,15.68,14.28,,8.0,8.38,6.0,5.5,,,3.18,6.27,,9.16,,12.85,14.95,,,,,,,,,,
2025-09-15,473.25,,,,,,18.9,16.0,13.9,,10.02,,7.55,,5.8,4.0,,5.4,7.1,,10.32,11.85,13.95,,,,,,,,,,
2025-09-16,474.32,,,,,22.36,21.39,18.1,15.7,12.73,11.01,9.0,7.87,5.97,,,,,6.35,,,10.35,12.7,14.25,,,,,,,,,
2025-09-17,473.12,,,,25.6,,19.35,,,,,9.22,7.22,,,,3.3,5.4,6.3,7.76,,10.9,,,,,,,,,,,
2025-09-18,473.62,,,,21.9,19.92,,,12.0,,9.35,,6.5,,,,,,6.05,8.45,,11.95,,,,,,,,,,,
2025-09-19,472.94,,,,,,18.11,16.46,12.85,,,,6.4,,,,,,6.08,7.0,,11.25,13.15,14.59,,,,,,,,,
2025-09-22,480.39,,,,30.6,,,20.0,18.25,14.57,13.2,,8.8,7.18,6.15,,,4.3,4.64,,7.77,,,,,,,,28.15,,,,
2025-09-23,486.67,,,,29.96,28.9,28.7,20.5,18.0,15.4,13.19,11.0,10.5,8.9,5.3,5.4,4.7,3.57,,,6.87,7.25,,11.3,,16.8,,,,,,,
2025-09-24,486.25,50.5,,40.7,37.8,29.0,27.3,24.8,20.63,17.78,15.6,14.6,10.8,9.74,10.1,6.1,6.8,,3.56,3.84,,6.0,,8.83,11.0,14.36,13.84,,,,,,
2025-09-25,484.34,,,,,29.8,,22.4,21.0,17.0,14.8,12.2,10.3,9.85,7.05,5.85,4.8,,3.77,,,6.72,8.75,,11.35,13.15,,,,,,,
2025-09-26,487.44,,42.15,37.62,,,27.57,23.6,21.22,17.45,14.35,,10.4,8.08,6.77,5.43,4.5,,,4.7,,6.6,8.55,,10.5,13.45,15.3,,,,,,
2025-09-29,491.98,,,,38.6,35.43,34.45,28.2,25.3,19.91,17.8,14.5,12.5,9.5,8.0,7.0,6.85,1.91,2.2,3.05,3.3,4.5,6.4,7.7,7.97,8.8,11.86,15.3,18.0,,,,
2025-09-30,499.21,55.25,,46.3,,,32.95,30.25,23.95,,20.25,,15.73,12.69,9.45,8.4,6.3,1.6,2.01,2.76,2.84,3.95,5.2,6.5,6.94,9.9,,13.45,14.6,,,,
2025-10-01,499.0,,,,,,35.7,,28.9,22.87,,17.0,,14.25,10.0,8.5,6.4,,2.0,,2.8,,4.5,5.78,7.5,8.2,10.47,,,,,,26.88
2025-10-02,499.36,,,,,,36.05,,28.4,24.65,20.74,17.6,15.0,13.1,10.74,9.61,6.85,1.5,1.75,,2.55,,6.9,5.6,6.79,8.4,10.2,12.3,14.7,,,,
2025-10-03,504.49,,,,,43.58,42.0,,,29.05,24.3,20.48,18.13,14.2,13.49,10.6,,0.69,,,2.13,,3.3,4.05,5.1,6.68,7.4,,11.3,13.5,,,
2025-10-06,514.24,,,62.05,,52.5,,,,35.41,31.9,24.98,24.2,21.16,17.5,16.0,12.6,,1.14,,1.7,2.05,2.6,,4.15,4.8,5.9,7.3,9.6,10.98,12.7,14.8,17.5
2025-10-07,511.07,,,,54.9,,46.4,,36.75,,,,22.14,19.98,17.2,14.8,12.12,,,,2.0,,2.7,,4.4,5.1,6.4,7.05,9.13,,,16.7,18.88
2025-10-08,514.02,,,,56.85,,47.62,,,34.7,,27.5,23.97,,18.6,16.0,13.0,,,,1.8,,,3.29,3.9,,6.4,7.34,8.98,,,15.5,
2025-10-09,507.76,,,,,,,,31.43,,25.5,,22.4,18.4,14.95,11.3,9.9,1.15,1.5,,1.65,,,,5.2,,6.0,7.46,10.8,13.85,15.48,14.76,17.36
